Date,Open,High,Low,Close,Adj Close,Volume
2019-07-31,306.177216,317.753021,306.097931,319.343719,319.343719,8768573278
2019-08-01,319.198334,319.902802,310.597961,320.127655,320.127655,8767810735
2019-08-02,320.239380,326.557281,317.642548,320.305176,320.305176,9055338010
2019-08-03,320.340454,330.231171,319.511566,327.095490,327.095490,8376652926
2019-08-04,327.228516,329.649109,321.217590,327.844421,327.844421,7712889578
2019-08-05,327.816681,348.223480,327.884399,346.250366,346.250366,11479430285
2019-08-06,346.304688,352.306427,330.699249,334.235962,334.235962,11309367147
2019-08-07,334.088379,341.473846,329.571320,334.946411,334.946411,10386624381
2019-08-08,335.225372,334.451874,318.105011,324.424408,324.424408,9857939649
2019-08-09,324.322845,324.984985,306.658875,310.089752,310.089752,10260487470
2019-08-10,310.150513,314.871613,300.225555,304.557373,304.557373,9700572513
2019-08-11,304.555450,319.090546,304.229248,318.898193,318.898193,9504697958
2019-08-12,318.780975,318.887238,312.332855,312.808380,312.808380,8400727721
2019-08-13,312.839203,312.893524,302.552826,307.077362,307.077362,8748917651
2019-08-14,306.877319,307.707123,275.882477,276.323334,276.323334,11023534783
2019-08-15,276.394257,279.686493,262.629517,278.342133,278.342133,12104051141
2019-08-16,278.526642,278.783875,266.082245,273.505554,273.505554,10521812468
2019-08-17,273.640656,275.368469,269.307739,273.870758,273.870758,8130676086
2019-08-18,274.097046,291.325928,270.927673,286.586212,286.586212,8795339217
2019-08-19,286.672089,300.833008,284.747192,300.691406,300.691406,9098310508
2019-08-20,300.204010,300.451477,288.626465,290.127594,290.127594,9458728265
2019-08-21,290.243896,290.780579,268.819427,275.463318,275.463318,11460866898
2019-08-22,275.531769,287.684235,270.638702,283.225525,283.225525,11204273990
2019-08-23,282.939453,289.840515,280.416321,288.320953,288.320953,9859406847
2019-08-24,288.269775,288.437622,277.884033,283.308075,283.308075,9256130689
2019-08-25,283.226929,284.602142,274.514313,278.498688,278.498688,8683993156
2019-08-26,278.352325,287.488159,278.352325,279.101013,279.101013,10648192874
2019-08-27,279.108887,279.132263,274.693390,277.634155,277.634155,8946173274
2019-08-28,277.549591,278.496826,255.582504,258.054626,258.054626,9937834128
2019-08-29,258.178192,258.080841,248.321182,251.689468,251.689468,10585606307
2019-08-30,251.644974,253.980850,248.610291,250.577469,250.577469,8573262920
2019-08-31,250.656158,258.724152,249.045380,255.972244,255.972244,8652950320
2019-09-01,255.955353,257.793396,251.611023,255.155960,255.155960,8258142775
2019-09-02,255.262817,268.228119,253.518768,265.709015,265.709015,9689095682
2019-09-03,265.744141,270.175354,261.782562,265.387787,265.387787,10294318144
2019-09-04,265.398468,265.630524,258.010742,258.894867,258.894867,8735289966
2019-09-05,258.879120,258.450775,251.849548,255.759460,255.759460,8205630998
2019-09-06,255.717911,259.988617,245.780548,248.203995,248.203995,9927232386
2019-09-07,248.202682,264.093994,247.456192,260.313324,260.313324,9917537387
2019-09-08,260.342499,267.197754,260.137939,264.879730,264.879730,9453701143
2019-09-09,264.918915,268.179077,258.716797,263.889313,263.889313,10536576633
2019-09-10,263.990875,267.978699,259.683777,262.130249,262.130249,9172992007
2019-09-11,262.223602,265.305023,257.284332,260.026825,260.026825,10412885795
2019-09-12,260.085815,265.070343,258.365021,263.760345,263.760345,8507490426
2019-09-13,263.688660,264.418152,259.350067,263.351654,263.351654,8659225462
2019-09-14,263.659698,274.020691,262.279205,273.524231,273.524231,9452648256
2019-09-15,273.470306,276.859680,271.113037,275.889069,275.889069,9045950375
2019-09-16,275.805450,288.718445,275.805450,287.225830,287.225830,12009972172
2019-09-17,287.259064,311.246094,287.542755,303.801514,303.801514,14901947117
2019-09-18,302.988678,317.470215,304.782471,309.678955,309.678955,13469624727
2019-09-19,309.465363,328.059113,301.290100,325.717468,325.717468,15632362061
2019-09-20,325.406525,327.356018,317.844147,322.114014,322.114014,11859308938
2019-09-21,321.888458,326.410217,317.608582,318.370880,318.370880,11438788882
2019-09-22,318.327087,319.220520,306.750336,312.512390,312.512390,11541797246
2019-09-23,312.760315,312.698639,298.006561,298.056854,298.056854,11062916994
2019-09-24,297.939911,299.305756,239.337753,247.254913,247.254913,17293118255
2019-09-25,247.288498,258.598358,244.084320,252.934006,252.934006,14455347883
2019-09-26,252.733047,254.212418,232.651093,246.860352,246.860352,11620368687
2019-09-27,246.748672,259.596802,241.264603,258.266693,258.266693,11691950775
2019-09-28,258.222107,259.914337,252.514053,258.131348,258.131348,10195883400
2019-09-29,258.190277,259.156250,247.008957,252.194427,252.194427,9609947108
2019-09-30,252.132111,266.450073,247.436340,266.450073,266.450073,11188359796
2019-10-01,266.949158,275.816833,262.054901,264.332092,264.332092,11441758383
2019-10-02,264.158661,269.545013,261.358704,269.372681,269.372681,9444034682
2019-10-03,269.362549,267.965759,255.813385,259.666107,259.666107,9457993325
2019-10-04,259.724030,263.677856,256.311798,261.363678,261.363678,9228142581
2019-10-05,261.306549,262.463989,255.605743,260.452850,260.452850,8620954716
2019-10-06,260.471863,262.221588,253.255249,255.856354,255.856354,8653106717
2019-10-07,255.680710,270.841675,254.758759,269.103912,269.103912,11650638223
2019-10-08,268.995544,274.032654,266.263855,270.556854,270.556854,11097882724
2019-10-09,270.578766,289.275940,268.980438,287.776367,287.776367,13530459801
2019-10-10,287.624237,286.671753,278.406403,283.364044,283.364044,12383578380
2019-10-11,283.573090,287.539337,267.434204,268.770691,268.770691,13438591604
2019-10-12,268.718201,274.269501,264.965393,266.204651,266.204651,11032806179
2019-10-13,266.255707,272.359955,265.356903,267.943970,267.943970,9908631831
2019-10-14,267.875275,276.509583,268.181458,276.003662,276.003662,10742065553
2019-10-15,276.027496,278.065796,265.778107,268.656036,268.656036,11450016592
2019-10-16,268.563721,268.918945,257.662292,260.547882,260.547882,11385134012
2019-10-17,260.390045,262.154572,255.804047,260.877930,260.877930,9872565813
2019-10-18,260.819611,259.945801,249.478592,253.295486,253.295486,11038383250
2019-10-19,253.336487,256.194153,251.244446,252.262115,252.262115,9557889847
2019-10-20,252.352173,258.077667,250.033905,256.348114,256.348114,9932225058
2019-10-21,256.334076,258.726196,252.242844,254.620239,254.620239,9921312979
2019-10-22,254.597061,256.020111,251.088028,251.138489,251.138489,10189717966
2019-10-23,251.083023,251.714401,229.878632,237.089554,237.089554,14051294600
2019-10-24,237.252075,240.869324,236.086182,237.965302,237.965302,10713329889
2019-10-25,237.996384,268.241577,237.409790,266.076721,266.076721,15183627111
2019-10-26,266.287598,287.212524,258.176941,263.602844,263.602844,20274630432
